Date,Date_mod,deaths
2017M02D27,2017-02-27,171
2017M02D28,2017-02-28,181
2017M03D01,2017-03-01,177
2017M03D02,2017-03-02,178
2017M03D03,2017-03-03,169
2017M03D04,2017-03-04,149
2017M03D05,2017-03-05,154
2017M03D06,2017-03-06,156
2017M03D07,2017-03-07,154
2017M03D08,2017-03-08,172
2017M03D09,2017-03-09,154
2017M03D10,2017-03-10,144
2017M03D11,2017-03-11,164
2017M03D12,2017-03-12,157
2017M03D13,2017-03-13,148
2017M03D14,2017-03-14,157
2017M03D15,2017-03-15,164
2017M03D16,2017-03-16,175
2017M03D17,2017-03-17,161
2017M03D18,2017-03-18,168
2017M03D19,2017-03-19,159
2017M03D20,2017-03-20,165
2017M03D21,2017-03-21,160
2017M03D22,2017-03-22,177
2017M03D23,2017-03-23,175
2017M03D24,2017-03-24,143
2017M03D25,2017-03-25,164
2017M03D26,2017-03-26,142
2017M03D27,2017-03-27,158
2017M03D28,2017-03-28,155
2017M03D29,2017-03-29,147
2017M03D30,2017-03-30,148
2017M03D31,2017-03-31,128
2017M04D01,2017-04-01,153
2017M04D02,2017-04-02,152
2017M04D03,2017-04-03,142
2017M04D04,2017-04-04,140
2017M04D05,2017-04-05,134
2017M04D06,2017-04-06,130
2017M04D07,2017-04-07,152
2017M04D08,2017-04-08,148
2017M04D09,2017-04-09,142
2017M04D10,2017-04-10,153
2017M04D11,2017-04-11,145
2017M04D12,2017-04-12,143
2017M04D13,2017-04-13,140
2017M04D14,2017-04-14,160
2017M04D15,2017-04-15,136
2017M04D16,2017-04-16,132
2017M04D17,2017-04-17,136
2017M04D18,2017-04-18,131
2017M04D19,2017-04-19,130
2017M04D20,2017-04-20,139
2017M04D21,2017-04-21,159
2017M04D22,2017-04-22,136
2017M04D23,2017-04-23,136
2017M04D24,2017-04-24,132
2017M04D25,2017-04-25,129
2017M04D26,2017-04-26,140
2017M04D27,2017-04-27,126
2017M04D28,2017-04-28,155
2017M04D29,2017-04-29,133
2017M04D30,2017-04-30,159
2017M05D01,2017-05-01,160
2017M05D02,2017-05-02,143
2017M05D03,2017-05-03,142
2017M05D04,2017-05-04,138
2017M05D05,2017-05-05,159
2017M05D06,2017-05-06,168
2017M05D07,2017-05-07,149
2017M05D08,2017-05-08,164
2017M05D09,2017-05-09,144
2017M05D10,2017-05-10,142
2017M05D11,2017-05-11,141
2017M05D12,2017-05-12,143
2017M05D13,2017-05-13,143
2017M05D14,2017-05-14,138
2017M05D15,2017-05-15,130
2017M05D16,2017-05-16,152
2017M05D17,2017-05-17,155
2017M05D18,2017-05-18,141
